id_cuadra,direccion,ocupacion
2,General Pinto 545,25.0
3,San Martín 452,12.0
4,Rodriguez 552,17.0
5,9 de Julio 441,18.0
6,General Pinto 759,17.0
7,San Martín 758,12.0
8,Sarmiento 641,13.0
9,San Martín 560,15.0
10,Rodriguez 654,15.0
11,San Martín 658,22.0
12,Belgrano 480,13.0
13,General Pinto 343,19.0
14,Rodriguez 464,20.0
15,General Pinto 631,16.0
16,San Martín 852,21.0
17,Belgrano 660,16.0
19,Sarmiento 543,16.0
20,General Pinto 490,13.0
21,Belgrano 540,19.0
22,Belgrano 768,19.0
23,Belgrano 364,9.0
24,Belgrano 868,15.0
25,Belgrano 958,8.0
26,9 de Julio 345,10.0
27,General Pinto 843,16.0
28,General Pinto 945,10.0
29,San Martín 364,12.0
30,San Martín 944,15.0
31,Sarmiento 351,11.0
32,Sarmiento 453,18.0
33,Sarmiento 755,20.0
34,Sarmiento 849,16.0
35,Sarmiento 945,12.0
36,Mitre 758,9.0
37,Mitre 846,11.0
38,Mitre 948,15.0
39,Chacabuco 442,18.0
40,Mitre 348,7.0
41,Mitre 446,9.0
42,Mitre 552,9.0
43,Mitre 648,11.0
44,Alem 362,15.0
45,Alem 480,17.0
46,Alem 556,13.0
47,Alem 658,11.0
48,Alem 770,13.0
49,Alem 852,7.0
50,Oficina SUMO,7.0
51,Chacabuco 562,14.0
52,Chacabuco 646,13.0
53,Chacabuco 752,10.0
54,Chacabuco 852,10.0
55,14 de Julio 467,9.0
56,Yrigoyen 557,18.0
57,Yrigoyen 753,16.0
58,Yrigoyen 847,19.0
59,Yrigoyen 655,28.0
60,Fuerte Independencia 349,19.0
61,Chacabuco 357,12.0
62,9 de Julio 753,12.0
63,9 de Julio 843,8.0
64,Rodriguez 348,12.0
65,Rodriguez 746,13.0
66,Rodriguez 846,11.0
67,14 de Julio 347,13.0
68,14 de Julio 557,10.0
69,14 de Julio 657,7.0
70,14 de Julio 767,5.0
71,14 de Julio 847,9.0
72,Maipu 453,15.0
73,Maipu 547,12.0
74,Maipu 653,14.0
75,Maipu 333,15.0
76,Maipu 741,18.0
77,Maipu 857,10.0
78,Maipu 953,5.0
79,General Paz 347,7.0
80,General Paz 447,22.0
81,General Paz 547,11.0
82,General Paz 647,16.0
83,General Paz 739,11.0
84,General Paz 845,10.0
85,Av. España 359,5.0
86,Av. España 481,7.0
87,Av. España 545,6.0
88,Av. España 647,6.0
89,Av. España 737,10.0
90,Av. España 843,7.0
91,Av. España 957,7.0
92,Tribunal de Faltas,1.0
